dateTime,measureValue,unit,unitSymbol,deviceId,measureType
2020-04-28 17:39:34,2957,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:52,2854,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:43:38,1417,MegaWatts,MW,dev-1,Output
2020-04-28 17:43:17,2809,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:37:13,2869,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:40:56,2753,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:07,3264,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-05-01 18:35:00,1508,MegaWatts,MW,dev-5,Output
2020-05-01 18:34:35,2765,Revolutions per Minute,RPM,dev-9,Rotation Speed
2020-04-28 17:42:57,1416,MegaWatts,MW,dev-1,Output
2020-04-28 17:37:11,2825,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:39:56,1574,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:53,2920,Revolutions per Minute,RPM,dev-7,Rotation Speed
2020-04-28 17:40:49,2804,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:39:53,2951,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:43,1354,MegaWatts,MW,dev-10,Output
2020-05-01 18:33:56,2806,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:04,1585,MegaWatts,MW,dev-6,Output
2020-04-29 16:00:26,1479,MegaWatts,MW,dev-2,Output
2020-04-29 16:00:10,2858,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:40:07,2706,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:43:06,2932,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:54,3010,Revolutions per Minute,RPM,dev-5,Rotation Speed
2020-04-28 17:43:20,1511,MegaWatts,MW,dev-1,Output
2020-04-28 17:43:30,2710,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-29 15:56:48,3153,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:17,2710,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:33:54,3215,Revolutions per Minute,RPM,dev-3,Rotation Speed
2020-05-01 18:35:03,1577,MegaWatts,MW,dev-10,Output
2020-04-28 17:43:55,3176,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:39:38,3214,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:29,1363,MegaWatts,MW,dev-1,Output
2020-04-28 17:37:38,1483,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:06,3223,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-04-28 17:38:40,1427,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:53,2730,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:44:12,2892,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:46:52,1511,MegaWatts,MW,dev-1,Output
2020-04-28 17:45:03,1507,MegaWatts,MW,dev-1,Output
2020-05-01 18:33:59,1631,MegaWatts,MW,dev-4,Output
2020-04-28 17:41:35,1413,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:07,1435,MegaWatts,MW,dev-2,Output
2020-04-28 17:41:09,1441,MegaWatts,MW,dev-2,Output
2020-04-28 17:43:58,3001,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:31,2803,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:33,2803,Revolutions per Minute,RPM,dev-5,Rotation Speed
2020-04-28 17:39:42,3247,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:45:46,1497,MegaWatts,MW,dev-1,Output
2020-04-28 17:40:47,3074,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:40:20,1639,MegaWatts,MW,dev-2,Output
2020-04-29 16:01:13,3067,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:47,1377,MegaWatts,MW,dev-6,Output
2020-04-29 15:55:27,1480,MegaWatts,MW,dev-2,Output
2020-04-28 17:41:20,1535,MegaWatts,MW,dev-2,Output
2020-04-28 17:44:30,1503,MegaWatts,MW,dev-1,Output
2020-04-28 17:37:36,1447,MegaWatts,MW,dev-2,Output
2020-04-28 17:44:36,1405,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:55,3095,Revolutions per Minute,RPM,dev-3,Rotation Speed
2020-05-01 18:34:16,3256,Revolutions per Minute,RPM,dev-4,Rotation Speed
2020-05-01 18:34:22,2809,Revolutions per Minute,RPM,dev-9,Rotation Speed
2020-05-01 18:34:47,1357,MegaWatts,MW,dev-8,Output
2020-04-29 15:55:16,1575,MegaWatts,MW,dev-2,Output
2020-04-28 17:39:48,1439,MegaWatts,MW,dev-1,Output
2020-05-01 18:35:00,2730,Revolutions per Minute,RPM,dev-9,Rotation Speed
2020-04-28 17:44:07,1382,MegaWatts,MW,dev-2,Output
2020-04-28 17:39:46,2729,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:38:24,1428,MegaWatts,MW,dev-2,Output
2020-05-01 18:33:54,1510,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:33,3176,Revolutions per Minute,RPM,dev-3,Rotation Speed
2020-04-29 16:01:09,1357,MegaWatts,MW,dev-2,Output
2020-05-01 18:35:01,1446,MegaWatts,MW,dev-6,Output
2020-04-28 17:38:44,1498,MegaWatts,MW,dev-1,Output
2020-04-28 17:44:38,2741,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:44:41,1471,MegaWatts,MW,dev-2,Output
2020-04-28 17:46:02,1466,MegaWatts,MW,dev-2,Output
2020-04-28 17:43:07,1613,MegaWatts,MW,dev-2,Output
